sequence_id,timestamp_us,x,y,w,h,class_id,confidence
2025_12_23_20_53_46_EVK4_mag7.3,2300,660,385,40,32,0,0.6217
2025_12_23_20_53_46_EVK4_mag7.3,42300,660,385,42,32,0,0.794
2025_12_23_20_53_46_EVK4_mag7.3,82300,660,385,44,33,0,0.8233
2025_12_23_20_53_46_EVK4_mag7.3,122300,660,385,36,28,0,0.8092
2025_12_23_20_53_46_EVK4_mag7.3,162300,660,385,31,25,0,0.8134
2025_12_23_20_53_46_EVK4_mag7.3,202300,659,384,32,26,0,0.8237
2025_12_23_20_53_46_EVK4_mag7.3,242300,659,384,33,26,0,0.7818
2025_12_23_20_53_46_EVK4_mag7.3,282300,659,384,30,24,0,0.663
2025_12_23_20_53_46_EVK4_mag7.3,322300,661,384,31,26,0,0.6192
2025_12_23_20_53_46_EVK4_mag7.3,362300,661,384,31,27,0,0.5081
2025_12_23_20_53_46_EVK4_mag7.3,402300,660,384,31,27,0,0.3782
2025_12_23_20_53_46_EVK4_mag7.3,722300,659,385,31,28,0,0.5066
2025_12_23_20_53_46_EVK4_mag7.3,762300,660,384,32,27,0,0.4037
2025_12_23_20_53_46_EVK4_mag7.3,802300,659,385,34,28,0,0.3707
2025_12_23_20_53_46_EVK4_mag7.3,842300,659,385,32,28,0,0.3929
2025_12_23_20_53_46_EVK4_mag7.3,962300,659,385,32,28,0,0.4803
2025_12_23_20_53_46_EVK4_mag7.3,1042300,659,384,30,28,0,0.4687
2025_12_23_20_53_46_EVK4_mag7.3,1122300,659,378,45,44,0,0.7317
2025_12_23_20_53_46_EVK4_mag7.3,1162300,659,371,37,43,0,0.5071
2025_12_23_20_53_46_EVK4_mag7.3,1202300,659,356,37,42,0,0.6768
2025_12_23_20_53_46_EVK4_mag7.3,1242300,660,349,44,44,0,0.736
2025_12_23_20_53_46_EVK4_mag7.3,1282300,661,341,43,47,0,0.7868
2025_12_23_20_53_46_EVK4_mag7.3,1322300,663,334,44,45,0,0.7989
2025_12_23_20_53_46_EVK4_mag7.3,1362300,664,326,42,46,0,0.7951
2025_12_23_20_53_46_EVK4_mag7.3,1402300,665,318,42,48,0,0.7102
2025_12_23_20_53_46_EVK4_mag7.3,1442300,668,311,44,48,0,0.7187
2025_12_23_20_53_46_EVK4_mag7.3,1482300,669,303,43,48,0,0.7751
2025_12_23_20_53_46_EVK4_mag7.3,1522300,669,296,46,50,0,0.7858
2025_12_23_20_53_46_EVK4_mag7.3,1562300,670,287,40,49,0,0.758
2025_12_23_20_53_46_EVK4_mag7.3,1602300,671,275,44,42,0,0.7799
2025_12_23_20_53_46_EVK4_mag7.3,1642300,672,273,44,45,0,0.799
2025_12_23_20_53_46_EVK4_mag7.3,1682300,675,265,44,47,0,0.7872
2025_12_23_20_53_46_EVK4_mag7.3,1722300,676,257,43,48,0,0.7774
