sequence_id,timestamp_us,x,y,w,h,class_id,confidence
DAVIS_COSMOS1933_18958_2024-12-04-18-37-01,1733323049704296,178,20,12,19,0,0.3891
DAVIS_COSMOS1933_18958_2024-12-04-18-37-01,1733323049744296,171,69,12,15,0,0.3312
DAVIS_COSMOS1933_18958_2024-12-04-18-37-01,1733323049784296,167,107,13,21,0,0.3954
DAVIS_COSMOS1933_18958_2024-12-04-18-37-01,1733323049864296,156,196,12,21,0,0.4228
DAVIS_COSMOS1933_18958_2024-12-04-18-37-01,1733323049904296,150,251,12,16,0,0.4158
DAVIS_COSMOS1933_18958_2024-12-04-18-37-01,1733323049944296,149,253,9,13,0,0.4516
DAVIS_COSMOS1933_18958_2024-12-04-18-37-01,1733323079784296,189,12,12,22,0,0.3747
DAVIS_COSMOS1933_18958_2024-12-04-18-37-01,1733323079824296,183,69,14,22,0,0.3689
DAVIS_COSMOS1933_18958_2024-12-04-18-37-01,1733323079864296,181,91,15,24,0,0.3094
DAVIS_COSMOS1933_18958_2024-12-04-18-37-01,1733323079904296,172,175,14,19,0,0.3934
DAVIS_COSMOS1933_18958_2024-12-04-18-37-01,1733323079944296,165,232,13,23,0,0.3621
DAVIS_COSMOS1933_18958_2024-12-04-18-37-01,1733323090024296,185,188,6,7,0,0.3223
DAVIS_COSMOS1933_18958_2024-12-04-18-37-01,1733323090424296,192,188,6,6,0,0.405
DAVIS_COSMOS1933_18958_2024-12-04-18-37-01,1733323090464296,193,187,6,7,0,0.3213
DAVIS_COSMOS1933_18958_2024-12-04-18-37-01,1733323090584296,196,188,6,6,0,0.3326
DAVIS_COSMOS1933_18958_2024-12-04-18-37-01,1733323090624296,197,188,6,6,0,0.3404
DAVIS_COSMOS1933_18958_2024-12-04-18-37-01,1733323091144296,207,190,6,7,0,0.3481
DAVIS_COSMOS1933_18958_2024-12-04-18-37-01,1733323091264296,208,191,6,7,0,0.3362
DAVIS_COSMOS1933_18958_2024-12-04-18-37-01,1733323091304296,210,191,7,7,0,0.3044
DAVIS_COSMOS1933_18958_2024-12-04-18-37-01,1733323092184296,228,191,6,7,0,0.3251
DAVIS_COSMOS1933_18958_2024-12-04-18-37-01,1733323092224296,228,192,7,7,0,0.3522
DAVIS_COSMOS1933_18958_2024-12-04-18-37-01,1733323092944296,243,192,7,7,0,0.3608
DAVIS_COSMOS1933_18958_2024-12-04-18-37-01,1733323092984296,244,192,7,7,0,0.3291
DAVIS_COSMOS1933_18958_2024-12-04-18-37-01,1733323093184296,248,192,7,7,0,0.3632
DAVIS_COSMOS1933_18958_2024-12-04-18-37-01,1733323093464296,253,194,6,7,0,0.4227
DAVIS_COSMOS1933_18958_2024-12-04-18-37-01,1733323093504296,254,193,5,7,0,0.3169
DAVIS_COSMOS1933_18958_2024-12-04-18-37-01,1733323093664296,258,194,6,6,0,0.3123
DAVIS_COSMOS1933_18958_2024-12-04-18-37-01,1733323093744296,259,195,6,6,0,0.3217
DAVIS_COSMOS1933_18958_2024-12-04-18-37-01,1733323093784296,260,196,7,7,0,0.3004
DAVIS_COSMOS1933_18958_2024-12-04-18-37-01,1733323093824296,260,196,6,7,0,0.4088
